pH,Temprature,Taste,Odor,Fat ,Turbidity,Colour,Grade
6.378,35.382,-0.022,-0.047,0.003,0.04,244.993,medium
6.567,37.684,0.943,0.001,1.105,0.025,254.999,high
6.406,45.033,-0.095,1.04,0.008,-0.001,240.076,medium
6.641,39.902,-0.058,1.034,0.002,0.947,250.897,low
6.929,43.311,1.022,0.968,0.935,0.881,254.618,high
6.485,41.165,0.988,0.007,0.129,-0.039,247.339,medium
6.668,50.044,1.068,1.019,1.012,-0.034,244.417,low
8.573,56.197,-0.086,0.963,0.055,-0.012,255.575,low
7.415,63.598,0.036,0.054,0.021,-0.049,255.028,low
6.798,40.287,-0.085,0.002,-0.108,0.009,255.158,medium
6.47,38.013,0.964,1.021,1.072,1.001,254.575,high
6.763,38.686,0.156,0.03,0.062,-0.025,254.172,medium
2.784,38.334,1.018,0.035,-0.056,-0.007,255.507,low
9.115,42.716,0.961,1.028,0.964,1.088,247.486,low
6.813,40.019,0.992,1.027,0.989,0.954,254.77,high
6.479,44.455,-0.009,0.04,-0.054,1.03,250.281,medium
6.511,34.658,0.014,-0.02,0.075,0.067,246.774,medium
6.676,39.377,-0.014,-0.039,0.073,0.054,255.927,medium
6.881,43.314,0.969,1.034,1.001,0.007,244.908,high
6.431,36.724,0.003,0.022,0.014,-0.053,254.349,medium
6.817,44.799,0.028,0.024,0.9,0.003,255.023,medium
6.551,37.249,1.075,-0.042,1.067,0.046,254.472,medium
6.569,37.161,1.058,0.025,0.942,-0.007,254.982,high
6.904,44.977,0.017,0.029,-0.048,1.129,255.479,medium
6.917,45.015,1.113,0.917,0.978,1.049,245.52,high
6.45,34.716,0.954,-0.019,0.971,0.049,245.821,medium
6.889,37.012,-0.077,0.97,0.913,-0.03,252.953,high
6.805,33.61,0.046,-0.009,0.061,0.94,239.743,medium
6.825,44.813,0.024,0.958,0.017,0.008,240.075,medium
6.682,41.115,0.107,0.042,0.966,0.041,254.559,medium
6.473,50.002,0.086,-0.011,-0.01,1.083,250.557,low
6.484,51.282,0.052,-0.056,0.11,-0.016,255.207,low
6.805,33.261,0.039,0.941,0.991,0.948,254.931,high
6.56,48.713,0.002,-0.043,0.921,0.006,255.141,low
6.714,43.205,0.919,0.063,0.936,0.93,249.693,high
6.743,38.265,0.988,-0.057,0.946,0.022,254.811,high
6.592,38.409,0.012,-0.016,1.126,-0.088,254.728,medium
6.383,55.118,1.053,0.005,1.069,-0.025,245.544,low
6.561,44.049,0.01,0.978,-0.065,0.055,256.149,medium
6.565,38.817,0.958,-0.035,0.014,-0.061,250.724,medium
6.704,42.798,1.012,-0.013,1.153,-0.031,251.093,high
6.754,55.059,-0.011,-0.032,-0.015,1.106,255.163,low
6.414,48.645,1.088,0.021,0.943,-0.023,246.501,low
6.727,40.283,0.969,0.066,1.012,1.002,254.899,high
6.519,40.854,-0.025,-0.025,0.001,0.073,254.997,medium
6.556,38.429,0.062,1.071,1.054,1.076,244.727,low
6.574,40.251,0.944,0.01,0.063,-0.033,255.215,medium
6.606,40.027,0.964,0.919,1.001,1.05,254.468,high
6.657,41.969,0.019,0.0,0.937,-0.002,249.665,medium
6.647,40.87,0.025,0.006,0.991,0.039,249.435,medium
6.617,36.359,-0.024,1.074,1.01,1.086,255.09,high
6.589,45.089,0.997,-0.049,-0.074,1.093,255.375,medium
6.921,40.382,0.97,1.033,0.951,-0.011,255.327,high
6.43,44.448,0.906,-0.002,0.076,0.067,245.089,medium
6.371,44.236,-0.042,-0.018,0.014,1.06,250.101,medium
6.613,34.08,1.005,0.021,0.996,0.143,253.424,high
6.678,34.894,0.05,0.929,-0.046,1.023,252.949,high
8.513,70.649,1.129,1.006,1.003,1.04,245.798,low
9.578,34.07,1.07,0.967,0.025,1.039,254.81,low
6.676,36.319,0.086,-0.015,-0.021,-0.092,255.379,medium
6.759,37.865,0.965,0.989,0.943,0.926,255.452,high
5.54,45.44,0.969,-0.007,1.008,0.902,250.228,low
4.5,60.65,0.06,1.119,0.985,1.007,249.85,low
8.148,66.596,1.019,-0.017,0.938,1.027,254.654,low
6.506,44.884,1.01,1.006,-0.023,-0.014,246.641,medium
6.644,45.705,0.989,0.95,1.049,0.039,245.132,medium
5.637,51.471,-0.055,1.053,0.952,0.919,254.835,low
8.626,53.837,0.034,1.065,1.031,0.96,255.572,low
7.446,89.03,1.064,0.064,1.054,0.979,254.856,low
6.755,45.778,-0.028,0.986,1.058,1.006,255.037,high
6.435,38.585,0.976,-0.004,-0.055,-0.12,255.618,medium
4.779,38.701,1.016,0.049,0.966,-0.031,254.981,low
3.131,40.896,0.987,0.919,0.997,0.992,255.808,low
8.934,43.287,1.024,0.067,1.032,1.053,250.397,low
6.866,40.507,1.061,0.042,0.99,0.025,244.825,medium
6.609,45.065,-0.015,0.948,1.054,1.08,249.433,high
6.559,35.088,-0.065,-0.045,1.072,-0.01,254.373,medium
4.644,37.055,-0.007,1.009,0.992,1.024,255.267,low
6.528,44.191,1.033,1.012,0.986,0.934,245.303,high
6.904,36.338,0.966,0.045,0.995,0.053,246.038,medium
6.66,35.878,0.034,0.983,1.054,-0.015,253.345,high
8.528,71.215,0.011,-0.164,-0.073,-0.013,246.453,low
6.575,34.447,0.019,-0.016,-0.031,0.994,239.992,medium
6.604,36.608,0.053,0.018,-0.015,-0.053,244.775,medium
6.493,36.897,1.002,0.068,1.044,0.038,254.625,high
6.431,43.649,0.045,1.011,0.016,-0.091,240.398,medium
6.549,39.362,0.025,1.037,0.062,0.987,250.143,low
6.808,43.496,0.984,0.969,0.997,0.992,255.906,high
6.59,40.61,0.982,-0.039,-0.064,-0.03,246.639,medium
6.741,50.336,1.033,0.927,1.104,0.004,245.077,low
8.679,54.804,-0.091,1.035,-0.013,-0.036,254.121,low
7.305,65.006,-0.007,-0.066,0.033,0.038,255.523,low
6.828,42.956,0.051,0.049,0.044,0.009,255.514,medium
6.675,37.577,0.945,1.042,1.028,0.94,254.621,high
6.878,37.39,0.02,-0.023,-0.005,0.116,256.028,medium
2.96,41.11,0.878,0.041,0.011,-0.004,255.085,low
8.978,44.171,1.085,1.013,1.0,0.976,248.637,low
6.816,38.24,1.032,0.931,1.014,1.009,254.67,high
6.569,44.137,0.05,0.039,-0.01,1.142,250.245,medium
6.363,37.122,0.067,-0.022,0.017,-0.084,247.494,medium
6.672,38.158,0.029,0.09,0.011,0.067,255.375,medium
6.953,45.49,0.996,1.008,0.994,0.023,245.718,high
6.552,37.197,0.026,-0.007,-0.064,-0.034,255.175,medium
6.6,44.15,-0.029,-0.049,1.015,-0.028,255.348,medium
6.59,38.43,0.968,-0.021,0.999,-0.007,254.727,medium
6.661,38.846,0.954,-0.006,1.01,0.06,255.612,high
6.925,46.057,0.056,-0.056,0.033,0.946,254.456,medium
6.702,45.393,1.01,1.005,0.924,0.976,245.589,high
6.571,34.256,1.02,0.06,0.948,-0.033,246.116,medium
6.844,36.055,0.144,1.056,0.965,-0.024,252.557,high
6.863,34.513,0.023,-0.045,0.007,1.023,239.779,medium
6.905,44.432,0.044,1.082,0.014,0.052,240.174,medium
6.7,40.922,-0.001,0.018,0.965,-0.003,254.614,medium
6.613,49.99,0.045,0.158,-0.026,1.043,249.947,low
6.644,49.484,0.07,-0.011,0.036,0.056,255.008,low
6.542,35.603,-0.02,1.012,1.008,0.964,255.131,high
6.758,49.049,0.008,0.043,1.026,-0.023,255.234,low
6.495,42.954,0.967,0.046,0.947,1.032,249.347,high
6.587,37.122,1.047,-0.02,1.024,0.035,255.117,high
6.572,38.48,-0.018,0.067,0.961,0.056,255.407,medium
6.516,54.97,1.013,0.018,1.022,-0.011,245.99,low
6.706,45.008,0.0,1.0,-0.009,-0.08,255.03,medium
6.537,39.919,1.022,0.027,-0.041,0.038,249.567,medium
7.008,43.31,0.953,-0.031,1.098,-0.074,249.898,high
6.809,54.895,-0.042,-0.055,0.065,0.955,255.221,low
6.463,48.823,0.934,-0.003,0.949,-0.015,246.633,low
6.704,39.627,0.962,0.007,0.936,0.967,254.08,high
6.71,40.075,0.01,-0.055,0.019,-0.042,255.268,medium
6.562,35.938,0.099,1.018,1.017,0.99,244.432,low
6.653,39.342,1.052,-0.033,-0.032,0.07,254.822,medium
6.58,42.0,0.986,1.063,1.056,1.015,254.391,high
6.631,42.894,-0.041,0.028,1.051,-0.015,250.629,medium
6.521,40.311,0.038,0.022,1.025,0.025,250.214,medium
6.567,36.807,0.065,0.971,0.994,0.992,254.45,high
6.474,44.308,1.089,-0.114,-0.067,0.992,255.363,medium
6.909,39.833,1.082,0.957,1.057,-0.047,254.911,high
6.346,44.414,1.002,0.063,0.005,0.055,245.915,medium
6.615,45.302,-0.025,-0.02,0.047,0.968,250.564,medium
6.623,35.395,1.1,-0.067,1.017,0.049,254.119,high
6.582,35.653,-0.007,0.962,-0.06,0.964,252.946,high
8.488,71.849,1.026,0.973,1.026,1.036,245.601,low
9.48,33.526,0.951,1.019,-0.023,0.978,255.138,low
6.724,37.031,-0.013,-0.073,0.015,0.019,255.127,medium
6.759,36.71,1.11,0.996,1.024,1.009,254.875,high
5.609,44.756,1.05,-0.079,0.998,0.949,250.662,low
4.459,58.899,-0.044,1.034,1.021,1.022,250.036,low
8.126,64.656,1.017,-0.004,0.984,0.966,254.689,low
6.72,44.512,0.957,0.975,0.04,0.013,247.033,medium
6.704,45.521,1.003,1.008,0.965,0.017,244.354,medium
5.623,48.276,0.006,0.93,1.11,1.029,255.011,low
8.819,52.906,-0.024,0.855,1.019,0.978,255.14,low
7.496,90.398,1.049,0.01,1.027,1.031,254.67,low
6.902,45.494,-0.058,1.048,0.982,1.061,255.445,high
6.607,37.05,1.048,0.03,0.049,-0.018,256.152,medium
4.61,36.659,1.049,0.038,0.983,-0.003,254.841,low
3.106,41.911,1.002,0.933,1.019,1.043,254.917,low
9.013,43.85,1.049,-0.005,1.014,1.044,249.844,low
6.753,40.984,1.033,-0.071,0.943,0.028,245.294,medium
6.611,44.511,0.056,1.047,0.953,0.977,249.584,high
6.313,36.096,0.024,0.005,0.997,-0.026,255.536,medium
4.456,37.091,0.041,0.908,1.033,1.006,255.226,low
6.588,44.606,1.047,1.06,1.0,1.099,244.305,high
6.684,34.687,1.027,-0.028,0.897,-0.15,245.473,medium
6.298,36.328,0.04,1.025,1.0,0.004,253.1,high
8.495,69.229,0.096,0.011,0.006,0.027,245.521,low
6.579,34.717,-0.004,-0.009,0.035,1.036,239.795,medium
6.293,37.046,-0.027,0.06,0.007,-0.033,245.39,medium
6.734,36.16,1.032,0.067,1.086,-0.022,255.709,high
6.438,47.312,0.029,0.995,-0.03,-0.011,239.857,medium
6.418,40.965,-0.026,1.067,0.055,1.017,250.695,low
6.817,42.242,0.95,1.023,0.988,0.975,255.048,high
6.69,40.386,1.017,0.025,0.062,-0.01,246.555,medium
6.669,48.452,0.952,1.069,0.998,0.037,245.598,low
8.65,55.562,-0.038,1.044,0.026,-0.004,254.669,low
7.421,66.343,0.048,0.037,-0.038,0.051,254.747,low
6.724,41.114,-0.048,-0.093,-0.012,-0.05,254.906,medium
6.467,36.05,1.023,0.948,0.998,1.0,255.276,high
6.74,37.665,0.037,0.02,0.051,-0.13,254.31,medium
3.085,39.273,1.097,-0.008,0.04,0.055,254.9,low
9.049,42.81,1.018,1.065,1.014,1.021,247.883,low
6.676,40.237,0.98,1.057,1.022,0.949,255.505,high
6.704,44.901,0.04,0.048,-0.009,1.049,250.258,medium
6.519,35.56,0.066,-0.021,-0.008,0.006,247.163,medium
6.545,37.422,0.018,-0.016,0.0,-0.026,255.223,medium
6.87,44.595,1.069,1.155,1.028,0.038,244.504,high
6.637,35.796,0.007,0.049,-0.001,0.023,255.542,medium
6.91,45.415,0.048,0.062,0.971,-0.083,254.441,medium
6.595,38.05,0.993,-0.012,1.053,-0.022,255.075,medium
6.565,38.765,1.002,-0.015,1.065,-0.005,254.74,high
6.736,46.523,0.012,0.009,0.06,0.958,255.072,medium
6.743,45.034,1.01,0.964,0.965,0.946,245.247,high
6.436,34.665,1.073,0.113,0.974,0.125,245.234,medium
6.93,36.065,0.014,0.982,1.036,0.02,253.146,high
6.777,33.279,-0.049,-0.046,-0.049,1.032,239.741,medium
6.767,44.37,0.07,1.146,-0.031,0.042,239.824,medium
6.914,40.279,-0.015,0.014,0.991,-0.019,255.518,medium
6.589,49.833,-0.046,-0.037,0.01,0.93,250.04,low
6.65,50.542,-0.033,-0.082,0.024,0.058,255.17,low
6.499,35.512,0.087,0.978,1.028,1.012,255.32,high
6.672,49.845,-0.006,-0.032,1.079,-0.036,255.109,low
6.615,43.41,1.064,0.046,0.952,1.035,249.768,high
6.806,37.357,0.982,-0.075,1.023,-0.003,255.431,high
6.505,38.652,-0.009,-0.065,0.986,0.011,255.548,medium
6.559,54.852,0.987,-0.055,0.94,-0.012,246.608,low
6.611,45.951,0.013,0.942,-0.034,0.025,254.974,medium
6.346,40.375,0.867,0.047,0.026,-0.006,249.782,medium
6.752,42.727,0.976,-0.084,1.027,0.037,249.695,high
6.742,54.73,-0.029,-0.001,-0.035,0.974,254.725,low
6.476,50.524,0.957,0.012,0.979,0.024,246.334,low
6.654,39.518,0.976,0.011,1.022,0.9,255.433,high
6.569,38.932,-0.021,-0.071,-0.053,0.045,255.811,medium
6.365,36.402,0.032,0.952,1.091,0.938,245.24,low
6.574,37.892,0.944,0.05,0.012,0.0,254.079,medium
6.681,40.206,0.964,0.903,0.933,0.958,254.969,high
6.479,42.233,0.051,0.03,1.077,0.042,249.962,medium
6.446,39.94,-0.037,0.001,0.936,-0.076,250.091,medium
6.627,40.07,-0.038,0.876,1.008,1.007,254.733,high
6.633,45.998,0.991,0.041,-0.005,1.137,254.781,medium
6.653,40.394,1.013,0.983,0.928,-0.064,254.938,high
6.605,44.694,1.053,-0.089,-0.068,-0.019,245.82,medium
6.602,43.263,-0.056,-0.0,0.002,1.03,249.68,medium
6.734,34.148,0.947,-0.069,0.944,-0.11,254.143,high
6.621,35.275,-0.012,0.999,0.013,0.995,253.811,high
8.606,69.852,0.987,0.993,0.964,0.966,245.863,low
9.239,32.562,1.041,0.987,-0.039,0.963,254.515,low
6.395,37.877,0.048,-0.047,-0.053,-0.107,254.716,medium
6.569,37.981,1.003,1.0,1.078,0.961,254.985,high
5.592,46.159,1.028,0.007,0.956,1.001,250.286,low
4.54,59.196,0.022,1.06,0.98,0.97,250.46,low
8.085,66.149,0.919,-0.021,0.924,0.977,255.078,low
6.621,44.003,1.024,1.055,0.064,0.038,246.541,medium
6.65,43.432,0.915,1.027,1.012,-0.04,244.789,medium
5.431,48.503,0.01,0.991,0.947,0.928,255.921,low
8.597,55.444,0.034,0.969,0.925,0.958,255.031,low
7.288,89.762,0.963,0.051,0.998,0.972,255.71,low
6.691,46.181,-0.068,1.088,0.989,0.957,255.218,high
6.35,35.955,0.94,-0.006,-0.023,-0.018,254.735,medium
4.726,37.286,1.032,0.059,0.913,0.055,255.198,low
3.005,40.122,0.957,0.958,1.048,0.931,254.972,low
9.106,43.004,0.931,-0.009,0.965,1.046,250.203,low
6.825,39.871,1.028,-0.053,1.011,-0.008,245.285,medium
6.552,43.628,-0.013,0.927,0.947,0.995,249.989,high
6.509,36.361,-0.003,0.106,1.065,-0.011,254.514,medium
4.406,37.233,-0.027,1.044,0.957,1.002,255.63,low
6.588,44.689,1.045,0.952,1.013,0.977,244.793,high
6.74,35.591,0.955,-0.012,0.997,0.049,245.666,medium
6.496,34.467,-0.076,0.956,0.966,0.034,253.605,high
8.536,71.136,0.068,0.032,0.006,-0.015,245.667,low
6.709,34.526,0.016,-0.04,-0.124,1.037,239.931,medium
6.406,36.048,0.048,-0.014,0.05,0.03,245.226,medium
6.601,36.266,0.999,-0.024,1.085,0.075,254.525,high
6.361,44.212,0.074,0.97,0.014,0.016,239.067,medium
6.628,40.624,0.033,1.023,-0.063,0.974,249.849,low
6.686,42.157,1.076,0.995,0.922,1.017,254.855,high
6.563,39.86,1.029,0.023,-0.017,0.023,246.5,medium
6.668,49.425,0.979,0.994,0.934,0.023,245.953,low
8.38,55.412,0.055,0.952,-0.049,0.047,255.29,low
7.521,63.555,-0.042,0.023,-0.044,0.01,254.341,low
6.883,40.663,0.081,-0.03,0.067,-0.091,254.681,medium
6.6,38.345,1.021,1.007,0.991,0.934,254.752,high
6.801,37.848,-0.06,-0.02,0.024,0.019,254.975,medium
3.118,40.55,0.98,0.029,-0.03,0.015,254.424,low
8.83,42.879,0.971,0.908,0.985,1.017,248.195,low
6.713,39.551,0.977,1.076,1.06,0.985,254.872,high
6.705,44.657,0.095,-0.007,0.024,0.953,250.814,medium
6.613,34.738,0.013,0.021,-0.061,-0.085,246.87,medium
6.619,39.17,0.042,0.031,-0.002,0.013,254.226,medium
6.663,45.583,0.966,1.0,0.941,0.083,245.469,high
6.519,37.433,0.058,0.032,0.111,0.017,255.046,medium
6.78,44.396,-0.042,-0.08,1.023,-0.005,255.823,medium
6.464,38.365,1.018,-0.005,1.139,-0.048,255.251,medium
6.785,37.324,1.119,0.032,1.026,-0.036,254.919,high
6.825,45.227,0.016,0.016,0.072,0.953,255.388,medium
6.695,44.126,0.966,0.983,0.997,1.019,245.149,high
6.458,36.812,1.053,0.027,1.042,-0.022,245.641,medium
6.645,35.791,0.013,1.007,1.074,-0.037,253.033,high
6.889,32.649,-0.095,-0.017,-0.007,0.948,240.314,medium
6.704,44.84,0.032,0.975,-0.018,0.141,240.638,medium
6.786,41.547,0.092,0.007,0.98,0.084,255.346,medium
6.638,49.023,0.079,-0.022,0.051,0.975,250.974,low
6.454,50.164,0.049,0.009,0.002,0.059,253.817,low
6.493,34.54,-0.073,1.018,1.033,1.076,255.099,high
6.702,50.666,0.042,-0.03,0.977,0.002,255.233,low
6.636,43.615,0.889,-0.032,1.056,0.993,250.635,high
6.641,36.358,0.96,0.014,1.03,0.021,254.848,high
6.764,36.649,-0.043,-0.008,0.962,0.015,255.137,medium
6.544,53.783,1.098,0.01,1.108,-0.043,245.678,low
6.772,43.97,0.022,1.044,-0.01,-0.006,255.346,medium
6.712,39.697,0.983,-0.033,-0.049,-0.092,250.026,medium
6.846,42.364,0.978,0.011,0.996,-0.018,249.939,high
6.728,54.752,-0.054,0.03,0.067,0.98,254.971,low
6.391,49.465,1.058,0.031,0.967,0.023,244.975,low
6.581,38.573,1.046,0.018,1.008,0.955,254.848,high
6.607,38.743,0.001,0.062,-0.016,0.012,255.049,medium
6.504,36.897,0.018,0.96,1.01,1.07,246.494,low
6.485,39.705,0.956,0.003,0.003,-0.055,255.971,medium
6.584,39.881,0.978,1.026,1.068,0.907,254.358,high
6.55,43.029,0.058,0.063,0.993,-0.041,249.653,medium
6.341,40.402,0.055,0.015,0.968,-0.015,250.967,medium
6.487,37.051,-0.019,1.08,0.983,1.012,255.533,high
6.729,44.129,0.991,-0.099,0.011,0.981,255.285,medium
6.622,41.601,0.979,1.013,0.965,0.024,254.537,high
6.52,43.961,0.985,-0.07,0.012,0.037,246.39,medium
6.605,43.443,0.074,0.017,-0.074,0.976,250.449,medium
6.553,36.39,1.038,0.078,0.989,-0.086,254.191,high
6.611,36.364,-0.062,0.92,0.035,0.994,253.515,high
8.525,69.847,1.04,1.165,0.959,0.953,245.766,low
9.544,34.856,0.975,0.984,0.027,0.896,255.952,low
6.694,37.394,0.009,-0.038,-0.122,0.011,255.65,medium
6.579,38.189,0.96,1.033,1.051,0.96,255.398,high
5.588,44.316,0.899,-0.025,1.077,1.023,249.878,low
4.54,59.827,-0.09,0.958,0.943,1.014,249.876,low
8.158,65.786,1.009,0.038,0.98,0.96,255.133,low
6.552,44.671,1.014,0.946,0.022,0.069,247.771,medium
6.742,45.097,0.972,0.874,1.005,-0.025,244.31,medium
5.682,50.218,-0.043,1.043,0.99,1.038,255.576,low
8.635,54.18,0.001,1.033,1.092,1.071,254.899,low
7.225,93.084,1.163,-0.018,0.976,1.013,255.21,low
6.602,46.59,-0.03,1.012,1.007,1.057,255.079,high
6.492,38.854,0.977,-0.001,-0.087,0.025,255.323,medium
4.789,37.729,1.046,0.049,0.999,0.023,255.304,low
2.975,39.686,0.965,0.949,0.993,1.002,253.982,low
8.93,44.286,0.998,-0.024,1.025,1.015,250.376,low
6.834,38.99,1.015,0.065,0.974,-0.062,245.098,medium
6.716,46.26,-0.048,0.923,0.988,0.938,250.128,high
6.62,35.931,0.001,0.053,1.023,-0.105,255.356,medium
4.664,37.683,-0.043,0.966,1.027,1.089,255.237,low
6.387,45.534,1.058,1.04,0.991,0.962,245.387,high
6.865,36.486,1.024,-0.048,1.052,0.005,245.318,medium
6.445,35.406,-0.065,0.996,1.108,0.015,253.385,high
8.536,70.381,-0.075,-0.045,0.04,0.006,246.247,low
6.747,32.93,0.058,0.05,0.098,1.011,240.183,medium
6.579,40.254,-0.069,-0.023,-0.076,0.014,244.542,medium
6.663,36.236,0.982,-0.001,1.025,-0.088,254.652,high
6.268,45.722,-0.045,1.039,0.013,0.031,240.306,medium
6.472,38.584,0.082,0.978,0.1,0.99,250.18,low
6.92,42.82,0.997,0.913,1.099,1.011,254.465,high
6.546,40.47,1.054,0.084,-0.013,-0.029,247.918,medium
6.65,50.803,1.024,0.959,1.012,0.014,244.902,low
8.456,55.984,0.047,1.087,0.045,0.006,255.365,low
7.521,65.004,0.04,0.036,-0.019,-0.042,256.117,low
6.638,40.712,0.091,-0.045,-0.002,-0.021,255.569,medium
6.685,37.602,0.918,0.972,0.979,1.052,255.449,high
6.876,37.979,-0.071,-0.038,-0.001,0.096,254.709,medium
3.046,40.218,1.028,-0.039,0.025,0.01,255.01,low
8.965,43.244,1.003,0.91,1.022,1.005,247.307,low
6.816,39.357,1.012,1.026,1.09,0.994,254.8,high
6.654,44.75,-0.037,-0.014,-0.083,0.997,250.091,medium
6.249,35.55,-0.08,0.062,-0.035,-0.059,246.805,medium
6.69,37.497,0.072,-0.027,0.022,-0.053,254.683,medium
6.748,45.642,1.017,1.069,0.973,0.068,244.548,high
6.442,37.778,-0.048,-0.048,-0.013,-0.018,253.717,medium
6.931,45.771,-0.037,0.011,1.058,-0.09,254.987,medium
6.267,37.61,0.932,0.046,0.917,-0.038,254.053,medium
6.592,36.798,1.027,-0.013,1.012,0.084,255.183,high
6.786,44.698,-0.017,-0.051,-0.02,1.093,254.655,medium
6.833,44.441,1.009,1.048,0.896,0.978,244.961,high
6.473,34.288,1.067,0.021,0.917,-0.078,245.636,medium
6.837,35.285,0.02,0.962,1.028,-0.009,252.839,high
6.78,33.647,0.024,0.057,0.001,1.018,240.2,medium
6.756,45.68,-0.031,1.041,-0.064,-0.014,239.455,medium
6.682,41.87,0.032,0.06,1.033,0.055,255.258,medium
6.55,50.159,0.024,-0.074,-0.007,1.122,250.266,low
6.605,48.192,-0.031,0.032,0.012,-0.033,254.93,low
6.614,35.18,-0.056,0.963,1.05,0.964,254.829,high
6.84,48.097,0.083,-0.005,1.028,-0.05,254.536,low
6.562,44.074,1.034,-0.01,1.028,1.0,249.873,high
6.577,37.399,1.081,0.005,0.947,-0.012,254.193,high
6.621,36.919,-0.022,-0.057,1.019,-0.01,255.155,medium
6.492,56.161,1.065,-0.034,1.011,0.043,245.686,low
6.567,45.171,-0.039,1.023,-0.012,0.033,255.297,medium
6.53,39.852,1.034,-0.017,0.052,-0.036,250.122,medium
6.567,41.655,0.978,0.047,0.973,-0.008,249.857,high
6.795,53.435,-0.001,-0.043,-0.014,0.907,255.288,low
6.419,50.443,0.943,0.078,0.985,-0.031,246.648,low
6.554,40.606,1.049,-0.015,0.967,0.952,255.775,high
6.62,39.252,-0.091,-0.033,-0.046,-0.026,254.986,medium
6.371,36.337,-0.044,1.031,1.036,1.029,245.268,low
6.574,40.888,0.952,0.033,0.01,-0.001,254.484,medium
6.63,39.034,0.999,1.04,0.975,0.992,254.88,high
6.379,43.621,-0.103,0.01,0.947,0.013,249.789,medium
6.556,40.509,-0.05,0.039,1.015,0.072,249.633,medium
6.672,38.217,0.062,0.972,1.053,1.058,254.756,high
6.493,43.759,1.103,0.043,-0.053,1.019,255.273,medium
6.883,42.64,0.985,1.01,1.032,0.001,254.475,high
6.453,45.019,0.898,0.032,0.038,0.02,245.508,medium
6.759,42.122,-0.065,-0.001,-0.005,1.0,249.992,medium
6.666,33.26,0.982,0.052,0.957,0.005,254.245,high
6.433,33.556,0.052,0.948,0.036,0.957,253.337,high
8.527,70.035,0.921,1.018,0.969,0.948,245.753,low
9.627,32.572,1.011,0.987,-0.018,0.944,255.712,low
6.605,37.526,0.011,-0.0,-0.02,-0.039,255.815,medium
6.672,34.506,1.015,1.125,1.005,1.002,255.179,high
5.61,44.704,0.99,0.1,1.085,0.99,249.564,low
4.489,60.683,0.026,1.005,1.012,1.065,250.233,low
8.189,65.655,1.05,0.016,0.897,1.036,255.094,low
6.731,44.992,1.087,0.92,0.079,0.002,247.042,medium
6.628,45.348,0.979,1.112,0.989,0.011,245.637,medium
5.598,49.79,-0.045,0.999,1.063,1.019,254.548,low
8.549,54.979,-0.025,0.976,1.038,0.987,255.573,low
7.436,90.596,0.963,0.065,0.942,1.093,255.256,low
6.789,46.388,-0.091,1.042,0.965,0.909,255.984,high
6.533,38.864,1.09,0.041,0.045,0.026,255.416,medium
4.849,37.309,1.012,-0.048,0.926,-0.029,254.39,low
3.253,39.967,1.014,1.008,0.954,0.963,253.367,low
9.161,43.44,0.964,0.039,0.93,1.018,249.971,low
6.779,39.665,0.943,-0.129,0.985,-0.038,244.504,medium
6.644,44.851,-0.031,0.97,1.01,1.017,249.468,high
6.384,35.827,0.004,-0.082,0.908,0.097,255.432,medium
4.513,38.189,0.024,1.085,1.025,0.992,254.02,low
6.507,44.26,0.929,1.005,0.954,0.992,245.593,high
6.736,33.908,1.007,-0.07,0.993,-0.048,246.048,medium
6.564,35.578,-0.031,0.926,1.056,-0.002,252.732,high
8.478,69.862,0.007,0.045,0.06,0.077,245.502,low
6.588,33.826,-0.02,0.093,-0.039,0.988,239.718,medium
6.525,37.544,0.015,-0.021,-0.045,0.098,244.882,medium
6.589,37.116,0.978,0.081,1.002,0.027,255.084,high
6.379,44.376,0.083,1.098,0.004,0.011,240.021,medium
6.515,39.405,-0.006,1.04,0.038,1.011,249.444,low
6.812,42.392,1.055,0.95,1.015,1.053,255.128,high
6.876,39.624,1.092,-0.016,0.011,0.012,246.966,medium
6.773,50.644,0.976,0.887,1.009,-0.033,244.931,low
8.742,56.304,0.039,0.963,-0.043,-0.051,255.103,low
7.362,62.052,-0.037,0.025,-0.091,0.035,254.298,low
7.009,41.229,0.035,-0.073,0.056,-0.019,254.983,medium
6.636,37.128,1.007,1.001,1.038,1.143,255.202,high
6.902,38.437,0.006,0.106,0.011,-0.001,255.013,medium
2.989,41.98,0.977,-0.08,0.102,-0.007,255.555,low
9.051,43.307,1.009,0.948,1.024,0.943,248.473,low
6.743,39.975,0.991,0.994,0.982,1.003,255.502,high
6.567,45.06,-0.012,0.015,-0.074,0.969,249.533,medium
6.509,35.547,0.026,-0.042,0.077,0.01,246.827,medium
6.574,39.004,0.088,0.013,-0.012,-0.009,255.61,medium
6.756,44.337,0.99,1.063,0.988,0.053,245.076,high
6.541,36.967,0.133,-0.015,0.081,-0.043,255.173,medium
6.772,45.558,0.02,0.067,0.999,0.053,254.755,medium
6.472,38.629,1.029,0.001,0.952,0.006,254.579,medium
6.814,39.095,1.0,-0.04,0.931,0.037,255.694,high
6.601,44.709,0.007,0.066,0.036,1.068,255.705,medium
6.835,45.553,0.991,0.971,0.978,0.978,244.727,high
6.522,36.773,1.018,0.073,0.991,-0.034,246.672,medium
6.813,34.916,-0.076,1.002,0.97,-0.035,252.651,high
6.774,33.119,-0.021,0.025,-0.033,1.001,239.727,medium
6.715,45.556,0.073,0.942,0.025,0.063,239.611,medium
